127.0.0.1 - - [07/Dec/2023:10:06:53 +0900] "GET / HTTP/1.1" 200 4106
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:07:50 +0900] "GET /board/toList HTTP/1.1" 200 14053
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:50 +0900] "GET /resources/template/css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:50 +0900] "GET /resources/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 232855
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:50 +0900] "GET /resources/template/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:50 +0900] "GET /resources/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 200 588931
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:52 +0900] "GET /board/toList HTTP/1.1" 200 16127
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:52 +0900] "GET /resources/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 232855
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:52 +0900] "GET /resources/template/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:52 +0900] "GET /resources/template/css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:52 +0900] "GET /resources/js/jquery/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:52 +0900] "GET /resources/image/replyArrow.png HTTP/1.1" 200 39915
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:52 +0900] "GET /resources/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 200 588931
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:24:52 +0900] "GET /resources/template/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/toList HTTP/1.1" 200 24413
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /resources/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 232855
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/img/undraw_rocket.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /resources/template/css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /resources/js/jquery/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /resources/template/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/img/undraw_profile.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /resources/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 200 588931
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/js/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:25:44 +0900] "GET /board/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
